Depth,AC,CAL,CNC,CORR,DEN,GR,HAC,RD,RFOC,RILD,RILM,RMLL,RS,SP,result
1946.2155,67.3894,8.838,8.9392,0.0165,2.6434,81.6965,212.3364,15.7325,10.7547,8.6822,8.3191,11.1766,12.5324,-35.3924,干层
1946.2468,67.5265,8.838,8.6737,0.0215,2.6385,82.5391,211.6031,14.9583,10.0012,8.7938,8.3399,10.6901,12.0076,-35.4239,干层
1946.2781,67.6804,8.838,8.4116,0.0274,2.6335,83.3951,211.3571,14.1773,9.2702,8.9029,8.3609,10.237,11.4796,-35.454,干层
1946.3094,67.9198,8.838,8.1775,0.0316,2.6294,84.2535,211.0447,13.5034,8.7169,8.9799,8.3738,9.9392,11.0154,-35.4796,干层
1946.3407,68.2941,8.838,7.9908,0.0347,2.6254,85.1076,212.3485,13.0104,8.4566,9.0023,8.3732,9.8958,10.6597,-35.4982,干层
1946.372,68.6821,8.8389,7.8088,0.0368,2.6205,85.9616,214.3591,12.5363,8.2265,9.0193,8.3712,9.8778,10.3147,-35.5162,干层
1946.4033,69.0617,8.839,7.6587,0.0379,2.6164,86.7718,217.6495,12.1148,8.069,9.0147,8.3565,9.9666,9.9992,-35.5325,干层
1946.4346,69.3979,8.8399,7.6468,0.0353,2.6142,87.3826,223.3548,11.921,8.2154,8.9216,8.2852,10.4944,9.8105,-35.5376,干层
1946.4659,69.7303,8.8409,7.6488,0.0332,2.6122,87.9768,229.9718,11.7494,8.3931,8.8183,8.207,11.0686,9.6347,-35.5416,干层
1946.4972,70.0622,8.8419,7.6499,0.0303,2.6102,88.5688,236.6262,11.5784,8.5701,8.7162,8.1299,11.6406,9.4597,-35.5466,干层
1946.5285,70.2194,8.8429,7.8257,0.0236,2.6091,88.9524,242.6886,11.5839,9.0038,8.5441,7.9701,12.8534,9.3776,-35.5397,干层
1946.5598,70.3609,8.8448,8.0203,0.0166,2.6081,89.3168,248.365,11.6079,9.4646,8.3635,7.8014,14.1334,9.3034,-35.5326,干层
1946.5911,70.501,8.8459,8.2134,0.0096,2.6071,89.6789,252.5564,11.631,9.9236,8.1844,7.6334,15.4084,9.2303,-35.5247,干层
1946.6224,70.5782,8.846,8.5109,0.0026,2.6052,90.0469,255.513,11.7101,10.1934,7.9955,7.4345,15.7062,9.191,-35.5102,干层
1946.6537,70.6317,8.8469,8.8426,-0.0044,2.6032,90.4139,256.6915,11.8079,10.3967,7.8038,7.2252,15.6643,9.1632,-35.4934,干层
1946.685,70.6849,8.847,9.1779,-0.0115,2.6021,90.7832,255.7287,11.9073,10.5974,7.611,7.0153,15.6009,9.1361,-35.4763,干层
1946.7163,70.7581,8.8479,9.5184,-0.0138,2.5983,91.4702,252.7923,11.9012,10.3991,7.4301,6.8183,14.4768,9.0593,-35.4566,干层
1946.7476,70.847,8.848,9.864,-0.0131,2.5943,92.3962,248.5123,11.8161,9.9025,7.2593,6.6297,12.5548,8.9451,-35.4338,干层
1946.7789,70.9373,8.848,10.2113,-0.0111,2.5903,93.3449,243.8253,11.7257,9.3815,7.0886,6.441,10.5651,8.8268,-35.4116,干层
1946.8102,71.069,8.848,10.536,-0.0064,2.5844,94.6167,237.9186,11.4783,8.8144,6.9279,6.2724,8.9071,8.6217,-35.3887,干层
